task id session trial condition trialxcondition perceived_liking perceived_intensity EMG
hedonic 03 two 36 empty 12 50.000000 12.711864 0.000133
hedonic 03 two 37 neutral 13 50.000000 12.711864 0.000201
hedonic 03 two 38 neutral 14 50.000000 12.711864 0.000208
hedonic 03 two 39 neutral 15 50.000000 12.711864 0.000159
hedonic 03 two 40 chocolate 13 56.779661 83.898305 0.000145
hedonic 03 two 41 chocolate 14 62.711864 72.033898 0.000146
hedonic 03 two 42 chocolate 15 55.932203 61.864407 0.000161
hedonic 03 two 43 empty 13 50.000000 22.033898 0.000158
hedonic 03 two 44 empty 14 50.000000 15.254237 0.000187
hedonic 03 two 45 empty 15 50.000000 12.711864 0.000233
hedonic 03 two 46 empty 16 50.000000 17.796610 0.000199
hedonic 03 two 47 empty 17 50.000000 13.559322 0.000212
hedonic 03 two 48 empty 18 50.000000 12.711864 0.000208
hedonic 03 two 49 chocolate 16 50.000000 77.118644 0.000134
hedonic 03 two 50 chocolate 17 46.610169 83.050847 0.000144
hedonic 03 two 51 chocolate 18 44.915254 86.440678 0.000164
hedonic 03 two 52 neutral 16 50.000000 50.000000 0.000238
hedonic 03 two 53 neutral 17 50.000000 28.813559 0.000200
hedonic 03 two 54 neutral 18 50.000000 18.644068 0.000138
hedonic 04 two 1 neutral 1 33.898305 82.203390 0.000335
hedonic 04 two 2 neutral 2 44.915254 16.949153 0.000297
hedonic 04 two 3 neutral 3 43.220339 16.949153 0.000431
hedonic 04 two 4 chocolate 1 80.508475 74.576271 0.000330
hedonic 04 two 5 chocolate 2 76.271186 38.983051 0.000357
hedonic 04 two 6 chocolate 3 63.559322 16.949153 0.000335
hedonic 04 two 7 empty 1 50.000000 14.406780 0.000399
hedonic 04 two 8 empty 2 50.000000 16.949153 0.000321
hedonic 04 two 9 empty 3 50.000000 12.711864 0.000382
hedonic 04 two 10 chocolate 4 55.932203 18.644068 0.000345
hedonic 04 two 11 chocolate 5 62.711864 18.644068 0.000379
hedonic 04 two 12 chocolate 6 50.000000 12.711864 0.000318
hedonic 04 two 13 neutral 4 40.677966 61.864407 0.000291
