task id session trial rewarded_response n_grips
instrumental_learning 15 one 3 2 16.000000
instrumental_learning 15 one 4 2 18.000000
instrumental_learning 15 one 5 2 16.000000
instrumental_learning 15 one 6 2 15.000000
instrumental_learning 15 one 7 2 16.000000
instrumental_learning 15 one 8 2 17.000000
instrumental_learning 15 one 9 2 17.000000
instrumental_learning 15 one 10 2 15.000000
instrumental_learning 15 one 11 1 19.000000
instrumental_learning 15 one 12 2 14.000000
instrumental_learning 15 one 13 2 18.000000
instrumental_learning 15 one 14 2 16.000000
instrumental_learning 15 one 15 1 17.000000
instrumental_learning 15 one 16 2 14.000000
instrumental_learning 15 one 17 2 16.000000
instrumental_learning 15 one 18 2 15.000000
instrumental_learning 15 one 19 2 12.000000
instrumental_learning 15 one 20 2 13.000000
instrumental_learning 15 one 21 2 14.000000
instrumental_learning 15 one 22 2 15.000000
instrumental_learning 15 one 23 2 15.000000
instrumental_learning 15 one 24 2 14.000000
instrumental_learning 16 one 1 1 3.000000
instrumental_learning 16 one 2 2 8.000000
instrumental_learning 16 one 3 2 9.000000
instrumental_learning 16 one 4 2 7.000000
instrumental_learning 16 one 5 2 10.000000
instrumental_learning 16 one 6 2 10.000000
instrumental_learning 16 one 7 2 10.000000
instrumental_learning 16 one 8 2 10.000000
instrumental_learning 16 one 9 2 11.000000
instrumental_learning 16 one 10 2 10.000000
instrumental_learning 16 one 11 2 10.000000
instrumental_learning 16 one 12 2 10.000000
instrumental_learning 16 one 13 2 7.000000
instrumental_learning 16 one 14 2 10.000000
instrumental_learning 16 one 15 2 11.000000
instrumental_learning 16 one 16 2 10.000000
instrumental_learning 16 one 17 2 10.000000
instrumental_learning 16 one 18 2 11.000000
instrumental_learning 16 one 19 2 11.000000
instrumental_learning 16 one 20 2 9.000000
instrumental_learning 16 one 21 1 9.000000
instrumental_learning 16 one 22 2 7.000000
instrumental_learning 16 one 23 1 4.000000
instrumental_learning 16 one 24 0 8.000000
instrumental_learning 17 one 1 2 16.000000
instrumental_learning 17 one 2 2 15.000000
instrumental_learning 17 one 3 2 15.000000
instrumental_learning 17 one 4 2 15.000000
instrumental_learning 17 one 5 2 16.000000
instrumental_learning 17 one 6 2 14.000000
instrumental_learning 17 one 7 2 16.000000
instrumental_learning 17 one 8 2 13.000000
instrumental_learning 17 one 9 2 14.000000
instrumental_learning 17 one 10 2 13.000000
instrumental_learning 17 one 11 2 12.000000
instrumental_learning 17 one 12 1 15.000000
instrumental_learning 17 one 13 0 8.000000
instrumental_learning 17 one 14 2 11.000000
instrumental_learning 17 one 15 2 6.000000
instrumental_learning 17 one 16 0 9.000000
instrumental_learning 17 one 17 2 12.000000
instrumental_learning 17 one 18 1 8.000000
instrumental_learning 17 one 19 1 5.000000
instrumental_learning 17 one 20 0 5.000000
instrumental_learning 17 one 21 2 15.000000
instrumental_learning 17 one 22 2 10.000000
instrumental_learning 17 one 23 2 11.000000
instrumental_learning 17 one 24 0 7.000000
instrumental_learning 18 one 1 2 20.000000
instrumental_learning 18 one 2 2 19.000000
instrumental_learning 18 one 3 2 19.000000
instrumental_learning 18 one 4 2 17.000000
instrumental_learning 18 one 5 2 14.000000
instrumental_learning 18 one 6 2 17.000000
instrumental_learning 18 one 7 1 17.000000
instrumental_learning 18 one 8 2 14.000000
instrumental_learning 18 one 9 2 13.000000
instrumental_learning 18 one 10 2 12.000000
instrumental_learning 18 one 11 2 15.000000
instrumental_learning 18 one 12 2 9.000000
instrumental_learning 18 one 13 2 12.000000
instrumental_learning 18 one 14 2 14.000000
instrumental_learning 18 one 15 2 16.000000
instrumental_learning 18 one 16 2 11.000000
instrumental_learning 18 one 17 2 10.000000
instrumental_learning 18 one 18 2 13.000000
instrumental_learning 18 one 19 1 14.000000
instrumental_learning 18 one 20 2 14.000000
instrumental_learning 18 one 21 2 13.000000
instrumental_learning 18 one 22 2 12.000000
instrumental_learning 18 one 23 2 15.000000
instrumental_learning 18 one 24 2 9.000000
instrumental_learning 19 one 1 1 6.000000
instrumental_learning 19 one 2 2 5.000000
instrumental_learning 19 one 3 1 4.000000
instrumental_learning 19 one 4 1 4.000000
instrumental_learning 19 one 5 2 5.000000
instrumental_learning 19 one 6 1 4.000000
instrumental_learning 19 one 7 2 6.000000
instrumental_learning 19 one 8 2 3.000000
instrumental_learning 19 one 9 1 4.000000
instrumental_learning 19 one 10 0 4.000000
instrumental_learning 19 one 11 1 5.000000
instrumental_learning 19 one 12 2 7.000000
instrumental_learning 19 one 13 2 9.000000
instrumental_learning 19 one 14 2 6.000000
instrumental_learning 19 one 15 1 6.000000
instrumental_learning 19 one 16 1 6.000000
instrumental_learning 19 one 17 1 5.000000
instrumental_learning 19 one 18 1 5.000000
instrumental_learning 19 one 19 1 7.000000
instrumental_learning 19 one 20 2 10.000000
instrumental_learning 19 one 21 2 8.000000
instrumental_learning 19 one 22 2 6.000000
instrumental_learning 19 one 23 2 10.000000
instrumental_learning 19 one 24 2 8.000000
instrumental_learning 20 one 1 2 6.000000
instrumental_learning 20 one 2 2 8.000000
instrumental_learning 20 one 3 2 9.000000
instrumental_learning 20 one 4 2 8.000000
instrumental_learning 20 one 5 2 8.000000
instrumental_learning 20 one 6 2 8.000000
instrumental_learning 20 one 7 2 9.000000
instrumental_learning 20 one 8 2 9.000000
instrumental_learning 20 one 9 1 9.000000
instrumental_learning 20 one 10 2 9.000000
instrumental_learning 20 one 11 2 9.000000
instrumental_learning 20 one 12 2 9.000000
instrumental_learning 20 one 13 2 9.000000
instrumental_learning 20 one 14 2 8.000000
instrumental_learning 20 one 15 2 9.000000
instrumental_learning 20 one 16 2 10.000000
instrumental_learning 20 one 17 2 9.000000
instrumental_learning 20 one 18 2 10.000000
instrumental_learning 20 one 19 2 10.000000
instrumental_learning 20 one 20 2 8.000000
instrumental_learning 20 one 21 2 9.000000
instrumental_learning 20 one 22 2 11.000000
instrumental_learning 20 one 23 2 11.000000
instrumental_learning 20 one 24 2 10.000000
instrumental_learning 21 one 1 2 14.000000
instrumental_learning 21 one 2 2 17.000000
instrumental_learning 21 one 3 2 17.000000
instrumental_learning 21 one 4 2 16.000000
instrumental_learning 21 one 5 2 17.000000
instrumental_learning 21 one 6 2 16.000000
instrumental_learning 21 one 7 2 16.000000
instrumental_learning 21 one 8 2 17.000000
instrumental_learning 21 one 9 2 16.000000
instrumental_learning 21 one 10 2 15.000000
instrumental_learning 21 one 11 2 18.000000
instrumental_learning 21 one 12 2 17.000000
instrumental_learning 21 one 13 2 15.000000
instrumental_learning 21 one 14 2 18.000000
instrumental_learning 21 one 15 2 16.000000
instrumental_learning 21 one 16 2 16.000000
instrumental_learning 21 one 17 2 15.000000
instrumental_learning 21 one 18 2 17.000000
instrumental_learning 21 one 19 2 19.000000
instrumental_learning 21 one 20 2 17.000000
instrumental_learning 21 one 21 2 19.000000
instrumental_learning 21 one 22 2 15.000000
instrumental_learning 21 one 23 2 19.000000
instrumental_learning 21 one 24 2 18.000000
instrumental_learning 22 one 1 2 17.000000
instrumental_learning 22 one 2 2 20.000000
instrumental_learning 22 one 3 2 20.000000
instrumental_learning 22 one 4 2 20.000000
instrumental_learning 22 one 5 2 18.000000
instrumental_learning 22 one 6 2 18.000000
instrumental_learning 22 one 7 2 14.000000
instrumental_learning 22 one 8 0 10.000000
instrumental_learning 22 one 9 2 15.000000
instrumental_learning 22 one 10 2 17.000000
instrumental_learning 22 one 11 1 9.000000
instrumental_learning 22 one 12 1 15.000000
instrumental_learning 22 one 13 2 14.000000
instrumental_learning 22 one 14 2 11.000000
instrumental_learning 22 one 15 2 14.000000
instrumental_learning 22 one 16 2 10.000000
instrumental_learning 22 one 17 0 7.000000
instrumental_learning 22 one 18 1 8.000000
instrumental_learning 22 one 19 2 12.000000
instrumental_learning 22 one 20 2 14.000000
instrumental_learning 22 one 21 2 13.000000
instrumental_learning 22 one 22 0 9.000000
instrumental_learning 22 one 23 2 13.000000
instrumental_learning 22 one 24 0 8.000000
instrumental_learning 23 one 1 2 19.000000
instrumental_learning 23 one 2 2 18.000000
instrumental_learning 23 one 3 2 13.000000
instrumental_learning 23 one 4 2 16.000000
instrumental_learning 23 one 5 2 18.000000
instrumental_learning 23 one 6 2 17.000000
instrumental_learning 23 one 7 2 15.000000
instrumental_learning 23 one 8 2 14.000000
instrumental_learning 23 one 9 2 17.000000
instrumental_learning 23 one 10 2 17.000000
instrumental_learning 23 one 11 2 15.000000
instrumental_learning 23 one 12 2 17.000000
instrumental_learning 23 one 13 2 17.000000
instrumental_learning 23 one 14 2 18.000000
instrumental_learning 23 one 15 2 17.000000
instrumental_learning 23 one 16 2 19.000000
instrumental_learning 23 one 17 2 29.000000
instrumental_learning 23 one 18 2 18.000000
instrumental_learning 23 one 19 2 20.000000
instrumental_learning 23 one 20 2 18.000000
instrumental_learning 23 one 21 2 18.000000
instrumental_learning 23 one 22 2 19.000000
instrumental_learning 23 one 23 2 19.000000
instrumental_learning 23 one 24 2 20.000000
instrumental_learning 24 one 1 0 3.000000
instrumental_learning 24 one 2 1 5.000000
instrumental_learning 24 one 3 2 7.000000
instrumental_learning 24 one 4 1 4.000000
instrumental_learning 24 one 5 2 4.000000
instrumental_learning 24 one 6 2 4.000000
instrumental_learning 24 one 7 2 5.000000
instrumental_learning 24 one 8 1 4.000000
