task id session trial condition trialxcondition perceived_liking perceived_intensity
hedonic 07 one 14 neutral 8 50.000000 12.711864
hedonic 07 one 15 neutral 9 50.000000 12.711864
hedonic 07 one 16 neutral 10 50.000000 12.711864
hedonic 07 one 17 neutral 11 72.033898 76.271186
hedonic 07 one 18 neutral 12 50.000000 12.711864
hedonic 07 one 19 neutral 13 12.711864 67.796610
hedonic 07 one 20 neutral 14 50.000000 12.711864
hedonic 07 one 21 neutral 15 38.983051 32.203390
hedonic 07 one 22 neutral 16 40.677966 33.050847
hedonic 07 one 23 neutral 17 35.593220 37.288136
hedonic 07 one 24 neutral 18 50.000000 12.711864
hedonic 07 one 25 neutral 19 75.423729 73.728814
hedonic 07 one 26 neutral 20 70.338983 52.542373
hedonic 07 one 27 neutral 21 50.000000 12.711864
hedonic 07 one 28 neutral 22 69.491525 33.050847
hedonic 07 one 29 neutral 23 60.169492 33.898305
hedonic 07 one 30 neutral 24 64.406780 49.152542
hedonic 07 one 31 neutral 25 56.779661 61.864407
hedonic 07 one 32 neutral 26 50.000000 12.711864
hedonic 07 one 33 neutral 27 30.508475 50.000000
hedonic 07 one 34 neutral 28 56.779661 61.864407
hedonic 07 one 35 neutral 29 56.779661 33.898305
hedonic 07 one 36 neutral 30 55.084746 57.627119
hedonic 07 one 37 neutral 31 55.084746 43.220339
hedonic 07 one 38 neutral 32 50.000000 12.711864
hedonic 07 one 39 neutral 33 50.000000 12.711864
hedonic 08 one 1 neutral 1 29.661017 66.949153
hedonic 08 one 2 neutral 2 62.711864 65.254237
hedonic 08 one 3 neutral 3 61.016949 72.881356
hedonic 08 one 4 neutral 4 38.135593 75.423729
hedonic 08 one 5 neutral 5 30.508475 72.033898
hedonic 08 one 6 neutral 6 31.355932 69.491525
hedonic 08 one 7 neutral 7 32.203390 72.033898
hedonic 08 one 8 neutral 8 22.033898 81.355932
hedonic 08 one 9 neutral 9 16.949153 82.203390
hedonic 08 one 10 neutral 10 22.033898 87.288136
hedonic 08 one 11 neutral 11 18.644068 87.288136
hedonic 08 one 12 neutral 12 32.203390 76.271186
hedonic 08 one 13 neutral 13 67.796610 71.186441
hedonic 08 one 14 neutral 14 73.728814 77.118644
hedonic 08 one 15 neutral 15 73.728814 77.966102
hedonic 08 one 16 neutral 16 18.644068 75.423729
hedonic 08 one 17 neutral 17 12.711864 87.288136
hedonic 08 one 18 neutral 18 12.711864 82.203390
hedonic 08 one 19 neutral 19 19.491525 80.508475
hedonic 08 one 20 neutral 20 16.101695 87.288136
hedonic 08 one 21 neutral 21 50.000000 32.203390
hedonic 08 one 22 chocolate 1 87.288136 83.050847
hedonic 08 one 23 chocolate 2 87.288136 50.000000
hedonic 08 one 24 chocolate 3 87.288136 79.661017
hedonic 08 one 25 neutral 22 32.203390 63.559322
hedonic 08 one 26 neutral 23 36.440678 69.491525
hedonic 08 one 27 neutral 24 29.661017 65.254237
hedonic 08 one 28 neutral 25 42.372881 61.864407
hedonic 08 one 29 neutral 26 32.203390 66.101695
hedonic 08 one 30 neutral 27 26.271186 73.728814
hedonic 08 one 31 neutral 28 60.169492 62.711864
hedonic 08 one 32 neutral 29 50.000000 60.169492
hedonic 08 one 33 neutral 30 51.694915 63.559322
hedonic 08 one 34 neutral 31 50.000000 12.711864
hedonic 08 one 35 neutral 32 50.000000 12.711864
hedonic 08 one 36 neutral 33 50.000000 13.559322
hedonic 08 one 37 empty 1 50.000000 12.711864
hedonic 08 one 38 empty 2 50.000000 12.711864
hedonic 08 one 39 empty 3 50.000000 12.711864
hedonic 09 one 1 neutral 1 39.830508 58.474576
hedonic 09 one 2 neutral 2 42.372881 57.627119
hedonic 09 one 3 neutral 3 42.372881 56.779661
hedonic 09 one 4 neutral 4 63.559322 68.644068
hedonic 09 one 5 neutral 5 56.779661 43.220339
hedonic 09 one 6 neutral 6 38.983051 60.169492
hedonic 09 one 7 neutral 7 60.169492 74.576271
hedonic 09 one 8 neutral 8 59.322034 63.559322
hedonic 09 one 9 neutral 9 50.000000 38.135593
hedonic 09 one 10 neutral 10 66.949153 63.559322
hedonic 09 one 11 neutral 11 61.864407 41.525424
hedonic 09 one 12 neutral 12 66.101695 60.169492
hedonic 09 one 13 neutral 13 38.983051 64.406780
hedonic 09 one 14 neutral 14 48.305085 40.677966
hedonic 09 one 15 neutral 15 45.762712 23.728814
hedonic 09 one 16 neutral 16 73.728814 64.406780
hedonic 09 one 17 neutral 17 41.525424 16.949153
hedonic 09 one 18 neutral 18 16.949153 74.576271
hedonic 09 one 19 neutral 19 12.711864 82.203390
hedonic 09 one 20 neutral 20 12.711864 74.576271
hedonic 09 one 21 neutral 21 12.711864 60.169492
hedonic 09 one 22 neutral 22 80.508475 63.559322
hedonic 09 one 23 neutral 23 87.288136 66.101695
hedonic 09 one 24 neutral 24 87.288136 56.779661
hedonic 09 one 25 empty 1 50.000000 12.711864
hedonic 09 one 26 empty 2 44.915254 14.406780
hedonic 09 one 27 empty 3 44.067797 16.949153
hedonic 09 one 28 neutral 25 12.711864 64.406780
hedonic 09 one 29 neutral 26 55.932203 21.186441
hedonic 09 one 30 neutral 27 23.728814 41.525424
hedonic 09 one 31 neutral 28 15.254237 66.949153
hedonic 09 one 32 neutral 29 38.983051 60.169492
hedonic 09 one 33 neutral 30 41.525424 18.644068
hedonic 09 one 34 chocolate 1 50.000000 71.186441
hedonic 09 one 35 chocolate 2 87.288136 66.949153
hedonic 09 one 36 chocolate 3 87.288136 87.288136
hedonic 09 one 37 neutral 31 29.661017 21.186441
hedonic 09 one 38 neutral 32 20.338983 17.796610
hedonic 09 one 39 neutral 33 12.711864 14.406780
hedonic 10 one 1 neutral 1 50.000000 60.169492
hedonic 10 one 2 neutral 2 41.525424 55.932203
hedonic 10 one 3 neutral 3 43.220339 55.932203
hedonic 10 one 4 neutral 4 37.288136 42.372881
hedonic 10 one 5 neutral 5 29.661017 55.932203
hedonic 10 one 6 neutral 6 38.983051 55.084746
hedonic 10 one 7 neutral 7 61.016949 66.101695
hedonic 10 one 8 neutral 8 59.322034 57.627119
hedonic 10 one 9 neutral 9 63.559322 58.474576
hedonic 10 one 10 chocolate 1 72.033898 61.864407
hedonic 10 one 11 chocolate 2 62.711864 63.559322
hedonic 10 one 12 chocolate 3 69.491525 65.254237
hedonic 10 one 13 neutral 10 50.000000 12.711864
hedonic 10 one 14 neutral 11 50.000000 12.711864
hedonic 10 one 15 neutral 12 50.000000 12.711864
hedonic 10 one 16 neutral 13 61.864407 68.644068
hedonic 10 one 17 neutral 14 61.864407 55.084746
hedonic 10 one 18 neutral 15 61.016949 50.000000
hedonic 10 one 19 neutral 16 86.440678 72.881356
hedonic 10 one 20 neutral 17 73.728814 64.406780
hedonic 10 one 21 neutral 18 76.271186 75.423729
hedonic 10 one 22 neutral 19 34.745763 58.474576
hedonic 10 one 23 neutral 20 27.966102 59.322034
hedonic 10 one 24 neutral 21 21.186441 55.932203
hedonic 10 one 25 neutral 22 38.983051 53.389831
hedonic 10 one 26 neutral 23 38.135593 54.237288
hedonic 10 one 27 neutral 24 35.593220 53.389831
hedonic 10 one 28 neutral 25 50.000000 50.000000
hedonic 10 one 29 neutral 26 38.983051 58.474576
hedonic 10 one 30 neutral 27 46.610169 44.067797
hedonic 10 one 31 empty 1 50.000000 12.711864
hedonic 10 one 32 empty 2 50.000000 12.711864
hedonic 10 one 33 empty 3 50.000000 12.711864
