task id session trial condition trialxcondition n_grips reward
PIT 04 two 51 CSplus 15 29 0
PIT 04 two 52 Baseline 13 26 0
PIT 04 two 53 Baseline 14 29 0
PIT 04 two 54 Baseline 15 25 0
Reminder 05 two 1 None 1 12 2
Reminder 05 two 2 None 2 13 2
Reminder 05 two 3 None 3 13 2
Partial_Extinction 05 two 4 None 4 14 1
Partial_Extinction 05 two 5 None 5 10 1
Partial_Extinction 05 two 6 None 6 2 1
Partial_Extinction 05 two 7 None 7 6 1
Partial_Extinction 05 two 8 None 8 10 1
Partial_Extinction 05 two 9 None 9 9 1
PIT 05 two 10 Baseline 1 8 0
PIT 05 two 11 Baseline 2 6 0
PIT 05 two 12 Baseline 3 7 0
PIT 05 two 13 CSplus 1 0 0
PIT 05 two 14 CSplus 2 1 0
PIT 05 two 15 CSplus 3 0 0
PIT 05 two 16 CSminus 1 3 0
PIT 05 two 17 CSminus 2 5 0
PIT 05 two 18 CSminus 3 12 0
PIT 05 two 19 CSminus 4 2 0
PIT 05 two 20 CSminus 5 2 0
PIT 05 two 21 CSminus 6 0 0
PIT 05 two 22 Baseline 4 5 0
PIT 05 two 23 Baseline 5 0 0
PIT 05 two 24 Baseline 6 9 0
PIT 05 two 25 CSplus 4 6 0
PIT 05 two 26 CSplus 5 2 0
PIT 05 two 27 CSplus 6 2 0
PIT 05 two 28 CSminus 7 0 0
PIT 05 two 29 CSminus 8 0 0
PIT 05 two 30 CSminus 9 0 0
PIT 05 two 31 Baseline 7 0 0
PIT 05 two 32 Baseline 8 0 0
PIT 05 two 33 Baseline 9 0 0
PIT 05 two 34 CSplus 7 0 0
PIT 05 two 35 CSplus 8 0 0
PIT 05 two 36 CSplus 9 0 0
PIT 05 two 37 Baseline 10 0 0
PIT 05 two 38 Baseline 11 0 0
PIT 05 two 39 Baseline 12 0 0
PIT 05 two 40 CSplus 10 0 0
PIT 05 two 41 CSplus 11 0 0
PIT 05 two 42 CSplus 12 0 0
PIT 05 two 43 CSminus 10 0 0
PIT 05 two 44 CSminus 11 2 0
PIT 05 two 45 CSminus 12 0 0
PIT 05 two 46 CSminus 13 0 0
PIT 05 two 47 CSminus 14 0 0
PIT 05 two 48 CSminus 15 0 0
PIT 05 two 49 Baseline 13 0 0
PIT 05 two 50 Baseline 14 0 0
PIT 05 two 51 Baseline 15 0 0
PIT 05 two 52 CSplus 13 0 0
PIT 05 two 53 CSplus 14 0 0
PIT 05 two 54 CSplus 15 1 0
Reminder 06 two 1 None 1 6 1
Reminder 06 two 2 None 2 10 2
Reminder 06 two 3 None 3 11 2
Partial_Extinction 06 two 4 None 4 10 1
Partial_Extinction 06 two 5 None 5 9 1
Partial_Extinction 06 two 6 None 6 9 1
Partial_Extinction 06 two 7 None 7 9 1
Partial_Extinction 06 two 8 None 8 12 1
Partial_Extinction 06 two 9 None 9 9 1
PIT 06 two 10 CSminus 1 7 0
PIT 06 two 11 CSminus 2 3 0
PIT 06 two 12 CSminus 3 4 0
PIT 06 two 13 Baseline 1 0 0
PIT 06 two 14 Baseline 2 0 0
PIT 06 two 15 Baseline 3 0 0
PIT 06 two 16 CSplus 1 14 0
PIT 06 two 17 CSplus 2 18 0
PIT 06 two 18 CSplus 3 20 0
PIT 06 two 19 CSplus 4 19 0
PIT 06 two 20 CSplus 5 20 0
PIT 06 two 21 CSplus 6 18 0
PIT 06 two 22 CSminus 4 0 0
PIT 06 two 23 CSminus 5 0 0
PIT 06 two 24 CSminus 6 0 0
PIT 06 two 25 Baseline 4 0 0
PIT 06 two 26 Baseline 5 0 0
PIT 06 two 27 Baseline 6 0 0
PIT 06 two 28 CSminus 7 0 0
PIT 06 two 29 CSminus 8 0 0
PIT 06 two 30 CSminus 9 0 0
PIT 06 two 31 Baseline 7 0 0
PIT 06 two 32 Baseline 8 0 0
PIT 06 two 33 Baseline 9 0 0
PIT 06 two 34 CSplus 7 17 0
PIT 06 two 35 CSplus 8 19 0
PIT 06 two 36 CSplus 9 20 0
PIT 06 two 37 Baseline 10 17 0
PIT 06 two 38 Baseline 11 0 0
PIT 06 two 39 Baseline 12 0 0
PIT 06 two 40 CSplus 10 18 0
PIT 06 two 41 CSplus 11 11 0
PIT 06 two 42 CSplus 12 15 0
PIT 06 two 43 CSminus 10 17 0
PIT 06 two 44 CSminus 11 0 0
PIT 06 two 45 CSminus 12 5 0
PIT 06 two 46 Baseline 13 9 0
PIT 06 two 47 Baseline 14 0 0
PIT 06 two 48 Baseline 15 0 0
PIT 06 two 49 CSplus 13 9 0
PIT 06 two 50 CSplus 14 16 0
PIT 06 two 51 CSplus 15 10 0
PIT 06 two 52 CSminus 13 12 0
PIT 06 two 53 CSminus 14 0 0
PIT 06 two 54 CSminus 15 0 0
Reminder 07 two 1 None 1 6 0
Reminder 07 two 2 None 2 10 2
Reminder 07 two 3 None 3 10 2
Partial_Extinction 07 two 4 None 4 11 1
Partial_Extinction 07 two 5 None 5 11 1
Partial_Extinction 07 two 6 None 6 7 1
Partial_Extinction 07 two 7 None 7 8 1
Partial_Extinction 07 two 8 None 8 10 1
