task id session trial condition trialxcondition RT accuracy liking_ratings rounds
pavlovian_learning 03 one 41 CSminus 20 0.345439 1 50.000000 2
pavlovian_learning 03 one 42 CSminus 21 0.299782 1 50.000000 3
pavlovian_learning 03 one 43 CSplus 22 0.326167 1 36.440678 1
pavlovian_learning 03 one 44 CSplus 23 0.401176 1 36.440678 2
pavlovian_learning 03 one 45 CSplus 24 0.338141 1 36.440678 3
pavlovian_learning 03 one 46 CSminus 22 0.286151 1 50.000000 1
pavlovian_learning 03 one 47 CSminus 23 0.286821 1 50.000000 2
pavlovian_learning 03 one 48 CSminus 24 0.297843 1 50.000000 3
pavlovian_learning 03 one 49 CSplus 25 0.356747 1 36.440678 1
pavlovian_learning 03 one 50 CSplus 26 0.314120 1 36.440678 2
pavlovian_learning 03 one 51 CSplus 27 0.313322 1 36.440678 3
pavlovian_learning 03 one 52 CSminus 25 0.288154 1 50.000000 1
pavlovian_learning 03 one 53 CSminus 26 0.293026 1 50.000000 2
pavlovian_learning 03 one 54 CSminus 27 0.287088 1 50.000000 3
pavlovian_learning 03 one 55 CSplus 28 0.152301 1 36.440678 1
pavlovian_learning 03 one 56 CSplus 29 0.305683 1 36.440678 2
pavlovian_learning 03 one 57 CSplus 30 0.343249 1 36.440678 3
pavlovian_learning 03 one 58 CSminus 28 0.331311 1 50.000000 1
pavlovian_learning 03 one 59 CSminus 29 0.358110 1 50.000000 2
pavlovian_learning 03 one 60 CSminus 30 0.296084 1 50.000000 3
pavlovian_learning 03 one 61 CSplus 31 0.342378 1 36.440678 1
pavlovian_learning 03 one 62 CSplus 32 0.319749 1 36.440678 2
pavlovian_learning 03 one 63 CSplus 33 0.286688 1 36.440678 3
pavlovian_learning 03 one 64 CSminus 31 0.306155 1 50.000000 1
pavlovian_learning 03 one 65 CSminus 32 0.399348 1 50.000000 2
pavlovian_learning 03 one 66 CSminus 33 0.274568 1 50.000000 3
pavlovian_learning 03 one 67 CSplus 34 0.309911 1 36.440678 1
