Subject	Word	POA	Voicing	VOT
s4	bang	bilabial	voiced	0.0106
s4	bang	bilabial	voiced	0.0114
s4	bang	bilabial	voiced	0.0131
s4	gum	velar	voiced	0.0278
s4	bat	bilabial	voiced	0.0119
s4	ten	alveolar	voiceless	0.05
s4	den	alveolar	voiced	0.0185
s4	best	bilabial	voiced	0.007
s4	pug	bilabial	voiceless	0.026
s4	pug	bilabial	voiceless	0.0361
s4	tell	alveolar	voiceless	0.0602
s4	dell	alveolar	voiced	0.0576
s4	gob	velar	voiced	0.0241
s4	gob	velar	voiced	0.0274
s4	gob	velar	voiced	0.0322
s4	cull	velar	voiceless	0.069
s4	gull	velar	voiced	0.0401
s4	gull	velar	voiced	0.0305
s4	ted	alveolar	voiceless	0.0739
s4	dead	alveolar	voiced	0.0248
s4	pound	bilabial	voiceless	0.0579
s4	pound	bilabial	voiceless	0.0862
s4	bound	bilabial	voiced	0.0103
s4	bound	bilabial	voiced	0.0114
s4	bound	bilabial	voiced	0.013
s4	pelt	bilabial	voiceless	0.033
s4	pelt	bilabial	voiceless	0.0357
s4	belt	bilabial	voiced	0.0149
s4	belt	bilabial	voiced	0.0096
s4	deck	alveolar	voiced	0.0122
s4	tech	alveolar	voiceless	0.042
s4	tech	alveolar	voiceless	0.06
s4	putt	bilabial	voiceless	0.0255
s4	putt	bilabial	voiceless	0.0209
s4	but	bilabial	voiced	0.0166
s4	pest	bilabial	voiceless	0.0388
s4	patch	bilabial	voiceless	0.0397
s4	batch	bilabial	voiced	0.0084
s4	cuss	velar	voiceless	0.0712
s4	gus	velar	voiced	0.0233
s4	pus	bilabial	voiceless	0.04
s4	gull	velar	voiced	0.0349
s4	cull	velar	voiceless	0.079
s4	pad	bilabial	voiceless	0.0411
s4	bad	bilabial	voiced	0.01
s4	pounce	bilabial	voiceless	0.0375
s4	bounce	bilabial	voiced	0.0114
s4	came	velar	voiceless	0.0743
s4	game	velar	voiced	0.0358
s4	gash	velar	voiced	0.0274
s4	bound	bilabial	voiced	0.0121
s4	pound	bilabial	voiceless	0.0337
s4	bound	bilabial	voiced	0.011
s4	touch	alveolar	voiceless	0.0257
s4	pat	bilabial	voiceless	0.0529
s4	pat	bilabial	voiceless	0.0581
s4	bat	bilabial	voiced	0.0117
s4	bat	bilabial	voiced	0.0168
s4	bat	bilabial	voiced	0.0187
s4	pelt	bilabial	voiceless	0.0551
s4	pelt	bilabial	voiceless	0.0292
s4	belt	bilabial	voiced	0.018
s4	path	bilabial	voiceless	0.0443
s4	bath	bilabial	voiced	0.0101
s5	god	velar	voiced	0.0311
s5	cod	velar	voiceless	0.0656
s5	cab	velar	voiceless	0.0598
s5	cab	velar	voiceless	0.08
s5	cab	velar	voiceless	0.0702
s5	gab	velar	voiced	0.02
s5	gab	velar	voiced	0.0205
s5	tug	alveolar	voiceless	0.0579
s5	cane	velar	voiceless	0.0709
s5	gull	velar	voiced	0.0279
s5	pounce	bilabial	voiceless	0.0343
s5	bounce	bilabial	voiced	0.0084
s5	bounce	bilabial	voiced	0.007
s5	patch	bilabial	voiceless	0.0511
s5	batch	bilabial	voiced	0.0064
s5	batch	bilabial	voiced	0.0029
s5	ten	alveolar	voiceless	0.0717
s5	den	alveolar	voiced	0.0128
s5	back	bilabial	voiced	0.0099
s5	pug	bilabial	voiceless	0.0374
s5	bug	bilabial	voiced	0.0144
s5	pelt	bilabial	voiceless	0.0292
s5	gain	velar	voiced	0.0605
s5	gain	velar	voiced	0.0141
s5	pack	bilabial	voiceless	0.008
s5	gave	velar	voiced	0.0274
s5	path	bilabial	voiceless	0.0208
s5	path	bilabial	voiceless	0.0135
s5	path	bilabial	voiceless	0.0645
s5	bath	bilabial	voiced	0.0085
s5	bath	bilabial	voiced	0.0062
s5	bath	bilabial	voiced	0.0449
s5	ted	alveolar	voiceless	0.0694
s5	ted	alveolar	voiceless	0.0814
s5	ted	alveolar	voiceless	0.0407
s5	dead	alveolar	voiced	0.0143
s5	dead	alveolar	voiced	0.0107
s5	dead	alveolar	voiced	0.0191
s5	dead	alveolar	voiced	0.0115
