Subject	Background	Probability	Style	Correct
38	Native	Low	Plain	0
39	Native	Low	Plain	1
39	Native	Low	Plain	1
39	Native	Low	Plain	1
39	Native	Low	Plain	1
39	Native	Low	Plain	1
39	Native	Low	Plain	1
39	Native	Low	Plain	1
39	Native	Low	Plain	1
39	Native	Low	Plain	0
39	Native	Low	Plain	0
39	Native	Low	Plain	0
39	Native	Low	Plain	0
39	Native	Low	Plain	0
39	Native	Low	Plain	0
39	Native	Low	Plain	0
40	Native	Low	Plain	1
40	Native	Low	Plain	1
40	Native	Low	Plain	1
40	Native	Low	Plain	1
40	Native	Low	Plain	1
40	Native	Low	Plain	1
40	Native	Low	Plain	1
40	Native	Low	Plain	1
40	Native	Low	Plain	1
40	Native	Low	Plain	1
40	Native	Low	Plain	0
40	Native	Low	Plain	0
40	Native	Low	Plain	0
40	Native	Low	Plain	0
40	Native	Low	Plain	0
41	Native	Low	Plain	1
41	Native	Low	Plain	1
41	Native	Low	Plain	1
41	Native	Low	Plain	1
41	Native	Low	Plain	1
41	Native	Low	Plain	1
41	Native	Low	Plain	1
41	Native	Low	Plain	1
41	Native	Low	Plain	1
41	Native	Low	Plain	1
41	Native	Low	Plain	1
41	Native	Low	Plain	0
41	Native	Low	Plain	0
41	Native	Low	Plain	0
41	Native	Low	Plain	0
42	Native	Low	Plain	1
42	Native	Low	Plain	1
42	Native	Low	Plain	1
42	Native	Low	Plain	1
42	Native	Low	Plain	1
42	Native	Low	Plain	1
42	Native	Low	Plain	1
42	Native	Low	Plain	1
42	Native	Low	Plain	1
42	Native	Low	Plain	0
42	Native	Low	Plain	0
42	Native	Low	Plain	0
42	Native	Low	Plain	0
42	Native	Low	Plain	0
42	Native	Low	Plain	0
43	Native	Low	Plain	1
43	Native	Low	Plain	1
43	Native	Low	Plain	1
43	Native	Low	Plain	1
43	Native	Low	Plain	1
43	Native	Low	Plain	1
43	Native	Low	Plain	1
43	Native	Low	Plain	0
43	Native	Low	Plain	0
43	Native	Low	Plain	0
43	Native	Low	Plain	0
43	Native	Low	Plain	0
43	Native	Low	Plain	0
43	Native	Low	Plain	0
43	Native	Low	Plain	0
44	Native	Low	Plain	1
44	Native	Low	Plain	1
44	Native	Low	Plain	1
44	Native	Low	Plain	1
44	Native	Low	Plain	1
44	Native	Low	Plain	1
44	Native	Low	Plain	1
44	Native	Low	Plain	1
44	Native	Low	Plain	1
44	Native	Low	Plain	1
44	Native	Low	Plain	0
44	Native	Low	Plain	0
44	Native	Low	Plain	0
44	Native	Low	Plain	0
44	Native	Low	Plain	0
45	Native	Low	Plain	1
45	Native	Low	Plain	1
45	Native	Low	Plain	1
45	Native	Low	Plain	1
45	Native	Low	Plain	1
45	Native	Low	Plain	1
45	Native	Low	Plain	1
45	Native	Low	Plain	1
45	Native	Low	Plain	0
45	Native	Low	Plain	0
45	Native	Low	Plain	0
45	Native	Low	Plain	0
45	Native	Low	Plain	0
45	Native	Low	Plain	0
45	Native	Low	Plain	0
46	Native	Low	Plain	1
46	Native	Low	Plain	1
46	Native	Low	Plain	1
46	Native	Low	Plain	1
46	Native	Low	Plain	1
46	Native	Low	Plain	1
46	Native	Low	Plain	1
46	Native	Low	Plain	1
46	Native	Low	Plain	0
46	Native	Low	Plain	0
46	Native	Low	Plain	0
46	Native	Low	Plain	0
46	Native	Low	Plain	0
46	Native	Low	Plain	0
46	Native	Low	Plain	0
47	Native	Low	Plain	1
47	Native	Low	Plain	1
47	Native	Low	Plain	1
47	Native	Low	Plain	1
47	Native	Low	Plain	1
47	Native	Low	Plain	1
47	Native	Low	Plain	1
47	Native	Low	Plain	0
47	Native	Low	Plain	0
47	Native	Low	Plain	0
47	Native	Low	Plain	0
47	Native	Low	Plain	0
47	Native	Low	Plain	0
47	Native	Low	Plain	0
47	Native	Low	Plain	0
48	Native	Low	Plain	1
48	Native	Low	Plain	1
48	Native	Low	Plain	1
48	Native	Low	Plain	1
48	Native	Low	Plain	1
48	Native	Low	Plain	1
48	Native	Low	Plain	1
48	Native	Low	Plain	0
48	Native	Low	Plain	0
48	Native	Low	Plain	0
48	Native	Low	Plain	0
48	Native	Low	Plain	0
48	Native	Low	Plain	0
48	Native	Low	Plain	0
48	Native	Low	Plain	0
49	Native	Low	Plain	1
49	Native	Low	Plain	1
49	Native	Low	Plain	1
49	Native	Low	Plain	1
49	Native	Low	Plain	1
49	Native	Low	Plain	1
49	Native	Low	Plain	1
49	Native	Low	Plain	1
49	Native	Low	Plain	1
49	Native	Low	Plain	1
49	Native	Low	Plain	0
49	Native	Low	Plain	0
49	Native	Low	Plain	0
49	Native	Low	Plain	0
49	Native	Low	Plain	0
50	Native	Low	Plain	1
50	Native	Low	Plain	1
50	Native	Low	Plain	1
50	Native	Low	Plain	1
50	Native	Low	Plain	1
50	Native	Low	Plain	1
50	Native	Low	Plain	1
50	Native	Low	Plain	1
50	Native	Low	Plain	1
50	Native	Low	Plain	1
50	Native	Low	Plain	0
50	Native	Low	Plain	0
50	Native	Low	Plain	0
50	Native	Low	Plain	0
50	Native	Low	Plain	0
51	Native	Low	Plain	1
51	Native	Low	Plain	1
51	Native	Low	Plain	1
51	Native	Low	Plain	1
51	Native	Low	Plain	1
51	Native	Low	Plain	1
51	Native	Low	Plain	1
51	Native	Low	Plain	0
51	Native	Low	Plain	0
51	Native	Low	Plain	0
51	Native	Low	Plain	0
51	Native	Low	Plain	0
51	Native	Low	Plain	0
51	Native	Low	Plain	0
51	Native	Low	Plain	0
52	Native	Low	Plain	1
52	Native	Low	Plain	1
52	Native	Low	Plain	1
52	Native	Low	Plain	1
52	Native	Low	Plain	1
52	Native	Low	Plain	1
52	Native	Low	Plain	1
52	Native	Low	Plain	1
52	Native	Low	Plain	1
52	Native	Low	Plain	1
52	Native	Low	Plain	1
52	Native	Low	Plain	0
52	Native	Low	Plain	0
52	Native	Low	Plain	0
52	Native	Low	Plain	0
53	Native	Low	Plain	1
53	Native	Low	Plain	1
53	Native	Low	Plain	1
53	Native	Low	Plain	1
53	Native	Low	Plain	1
53	Native	Low	Plain	1
53	Native	Low	Plain	1
53	Native	Low	Plain	1
53	Native	Low	Plain	0
53	Native	Low	Plain	0
53	Native	Low	Plain	0
53	Native	Low	Plain	0
53	Native	Low	Plain	0
53	Native	Low	Plain	0
53	Native	Low	Plain	0
54	Native	Low	Plain	1
54	Native	Low	Plain	1
54	Native	Low	Plain	1
54	Native	Low	Plain	1
54	Native	Low	Plain	1
54	Native	Low	Plain	1
54	Native	Low	Plain	1
54	Native	Low	Plain	1
54	Native	Low	Plain	1
54	Native	Low	Plain	1
54	Native	Low	Plain	1
54	Native	Low	Plain	0
54	Native	Low	Plain	0
54	Native	Low	Plain	0
54	Native	Low	Plain	0
55	Native	Low	Plain	1
55	Native	Low	Plain	1
55	Native	Low	Plain	1
55	Native	Low	Plain	1
55	Native	Low	Plain	1
55	Native	Low	Plain	1
55	Native	Low	Plain	1
55	Native	Low	Plain	1
55	Native	Low	Plain	1
55	Native	Low	Plain	1
55	Native	Low	Plain	0
55	Native	Low	Plain	0
55	Native	Low	Plain	0
55	Native	Low	Plain	0
55	Native	Low	Plain	0
56	Native	Low	Plain	1
56	Native	Low	Plain	1
56	Native	Low	Plain	1
56	Native	Low	Plain	1
56	Native	Low	Plain	1
56	Native	Low	Plain	1
56	Native	Low	Plain	1
56	Native	Low	Plain	1
56	Native	Low	Plain	1
56	Native	Low	Plain	1
56	Native	Low	Plain	0
56	Native	Low	Plain	0
56	Native	Low	Plain	0
56	Native	Low	Plain	0
56	Native	Low	Plain	0
57	Native	Low	Plain	1
57	Native	Low	Plain	1
57	Native	Low	Plain	1
57	Native	Low	Plain	1
57	Native	Low	Plain	1
57	Native	Low	Plain	1
57	Native	Low	Plain	1
57	Native	Low	Plain	0
57	Native	Low	Plain	0
57	Native	Low	Plain	0
57	Native	Low	Plain	0
57	Native	Low	Plain	0
57	Native	Low	Plain	0
57	Native	Low	Plain	0
57	Native	Low	Plain	0
58	Native	Low	Plain	1
58	Native	Low	Plain	1
58	Native	Low	Plain	1
58	Native	Low	Plain	1
58	Native	Low	Plain	1
58	Native	Low	Plain	1
58	Native	Low	Plain	1
58	Native	Low	Plain	1
58	Native	Low	Plain	1
58	Native	Low	Plain	0
58	Native	Low	Plain	0
58	Native	Low	Plain	0
58	Native	Low	Plain	0
58	Native	Low	Plain	0
58	Native	Low	Plain	0
59	Native	Low	Plain	1
59	Native	Low	Plain	1
59	Native	Low	Plain	1
59	Native	Low	Plain	1
59	Native	Low	Plain	1
59	Native	Low	Plain	1
59	Native	Low	Plain	0
59	Native	Low	Plain	0
59	Native	Low	Plain	0
59	Native	Low	Plain	0
