Subject	Condition	VOT	Pair	Consonant
S5	No-Competitor	0.065058	kP4	k
S5	Competitor-Absent	0.057251	kP3	k
S5	No-Competitor	0.065287667	kP3	k
S5	Competitor-Absent	0.0581	kP4	k
S5	Competitor-Present	0.087334333	pP6	p
S5	No-Competitor	0.062134333	pP6	p
S5	Competitor-Present	0.06927	pP2	p
S5	Competitor-Absent	0.063577333	pP8	p
S5	Competitor-Present	0.071235667	pP1	p
S5	No-Competitor	0.068032667	pP7	p
S5	Competitor-Absent	0.066244333	pP7	p
S5	No-Competitor	0.063219667	pP1	p
S5	No-Competitor	0.056672667	pP8	p
S5	Competitor-Absent	0.051699333	pP9	p
S5	No-Competitor	0.047797	pP9	p
S5	No-Competitor	0.056097333	pP10	p
S5	Competitor-Absent	0.054192667	pP10	p
S5	No-Competitor	0.060480333	pP2	p
S5	No-Competitor	0.060994667	pP12	p
S5	Competitor-Absent	0.041322333	pP12	p
S5	No-Competitor	0.071054333	pP11	p
S5	No-Competitor	0.059964667	pP3	p
S5	No-Competitor	0.046236667	pP4	p
S5	Competitor-Present	0.067879	pP5	p
S5	Competitor-Present	0.067351	pP4	p
S5	Competitor-Present	0.066096333	pP3	p
S5	No-Competitor	0.051187667	pP5	p
S5	Competitor-Absent	0.046058	pP11	p
S5	Competitor-Absent	0.072649667	tP1	t
S5	No-Competitor	0.079495667	tP2	t
S5	No-Competitor	0.061741	tP11	t
S5	Competitor-Present	0.081621	tP11	t
S5	Competitor-Absent	0.065961333	tP2	t
S5	No-Competitor	0.071076667	tP1	t
S5	Competitor-Absent	0.070200333	tP3	t
S5	No-Competitor	0.062665333	tP3	t
S5	Competitor-Absent	0.065356	tP4	t
S5	No-Competitor	0.064717667	tP4	t
S5	Competitor-Absent	0.062372333	tP6	t
S5	No-Competitor	0.057947333	tP6	t
S5	Competitor-Absent	0.059396667	tP5	t
S5	No-Competitor	0.063006333	tP5	t
S5	No-Competitor	0.068251	tP12	t
S5	Competitor-Present	0.089106	tP12	t
S5	No-Competitor	0.058670333	tP9	t
S5	Competitor-Present	0.084748	tP8	t
S5	No-Competitor	0.061448	tP8	t
S5	No-Competitor	0.056184667	tP7	t
S5	Competitor-Present	0.081559667	tP7	t
S5	Competitor-Present	0.083699	tP9	t
S5	Competitor-Present	0.074088667	tP10	t
S5	No-Competitor	0.054905333	tP10	t
S6	Competitor-Present	0.069145	kP10	k
S6	No-Competitor	0.062859667	kP10	k
S6	No-Competitor	0.068165	kP11	k
S6	Competitor-Present	0.073368333	kP11	k
S6	Competitor-Absent	0.061769333	kP1	k
S6	Competitor-Absent	0.071411333	kP2	k
S6	Competitor-Present	0.069432667	kP12	k
S6	No-Competitor	0.068713	kP1	k
S6	No-Competitor	0.060661333	kP12	k
S6	Competitor-Present	0.081032667	kP9	k
S6	No-Competitor	0.072191	kP9	k
S6	No-Competitor	0.062848667	kP2	k
S6	Competitor-Absent	0.078817	kP5	k
S6	No-Competitor	0.067309333	kP5	k
S6	No-Competitor	0.073582333	kP6	k
S6	No-Competitor	0.084093667	kP7	k
S6	Competitor-Present	0.069271333	kP7	k
S6	No-Competitor	0.084577	kP8	k
S6	Competitor-Present	0.097288333	kP8	k
S6	Competitor-Absent	0.075147667	kP6	k
S6	No-Competitor	0.072852667	kP4	k
S6	Competitor-Absent	0.074566333	kP3	k
S6	No-Competitor	0.071464333	kP3	k
S6	Competitor-Absent	0.075704333	kP4	k
S6	Competitor-Present	0.074809333	pP6	p
S6	No-Competitor	0.063686	pP6	p
S6	Competitor-Present	0.063303667	pP2	p
S6	Competitor-Absent	0.063225667	pP8	p
S6	Competitor-Present	0.069763	pP1	p
S6	No-Competitor	0.071307667	pP7	p
S6	Competitor-Absent	0.068592	pP7	p
S6	No-Competitor	0.068071667	pP1	p
S6	No-Competitor	0.069931667	pP8	p
S6	Competitor-Absent	0.069332667	pP9	p
S6	No-Competitor	0.054652	pP9	p
S6	No-Competitor	0.051086	pP10	p
S6	Competitor-Absent	0.068755	pP10	p
S6	No-Competitor	0.055513	pP2	p
S6	No-Competitor	0.052798667	pP12	p
S6	Competitor-Absent	0.060575667	pP12	p
S6	No-Competitor	0.058169	pP11	p
S6	No-Competitor	0.050657667	pP3	p
S6	No-Competitor	0.049711667	pP4	p
S6	Competitor-Present	0.072964667	pP5	p
S6	Competitor-Present	0.051414667	pP4	p
S6	Competitor-Present	0.061965667	pP3	p
S6	No-Competitor	0.054747	pP5	p
S6	Competitor-Absent	0.048653333	pP11	p
S6	Competitor-Absent	0.066677667	tP1	t
S6	No-Competitor	0.068902667	tP2	t
S6	No-Competitor	0.077099667	tP11	t
S6	Competitor-Present	0.083182	tP11	t
S6	Competitor-Absent	0.064597667	tP2	t
S6	No-Competitor	0.081836	tP1	t
S6	Competitor-Absent	0.072123333	tP3	t
S6	No-Competitor	0.081755	tP3	t
S6	Competitor-Absent	0.078939333	tP4	t
S6	No-Competitor	0.059861667	tP4	t
S6	Competitor-Absent	0.064898333	tP6	t
S6	No-Competitor	0.064952	tP6	t
S6	Competitor-Absent	0.065106333	tP5	t
S6	No-Competitor	0.061763	tP5	t
S6	No-Competitor	0.060993333	tP12	t
S6	Competitor-Present	0.073407333	tP12	t
S6	No-Competitor	0.071402333	tP9	t
S6	Competitor-Present	0.072759333	tP8	t
S6	No-Competitor	0.070783	tP8	t
S6	No-Competitor	0.070230667	tP7	t
S6	Competitor-Present	0.074408333	tP7	t
S6	Competitor-Present	0.074717	tP9	t
S6	Competitor-Present	0.073907333	tP10	t
S6	No-Competitor	0.071167	tP10	t
S7	Competitor-Absent	0.087703	kP10	k
S7	No-Competitor	0.095726	kP10	k
S7	No-Competitor	0.091959333	kP11	k
S7	Competitor-Absent	0.088537667	kP11	k
S7	Competitor-Present	0.096222667	kP1	k
S7	Competitor-Present	0.101989333	kP2	k
S7	Competitor-Absent	0.100653	kP12	k
S7	No-Competitor	0.085450333	kP1	k
S7	No-Competitor	0.088962333	kP12	k
S7	Competitor-Absent	0.106011667	kP9	k
S7	No-Competitor	0.094571333	kP9	k
S7	No-Competitor	0.096063667	kP2	k
S7	Competitor-Present	0.097839333	kP5	k
S7	No-Competitor	0.10373	kP5	k
S7	No-Competitor	0.096110667	kP6	k
S7	No-Competitor	0.081906667	kP7	k
S7	Competitor-Absent	0.096200667	kP7	k
S7	No-Competitor	0.089685333	kP8	k
S7	Competitor-Absent	0.106253333	kP8	k
S7	Competitor-Present	0.103503	kP6	k
S7	No-Competitor	0.089774333	kP4	k
S7	Competitor-Present	0.091480333	kP3	k
S7	No-Competitor	0.093531333	kP3	k
S7	Competitor-Present	0.095726667	kP4	k
S7	Competitor-Absent	0.089133333	pP6	p
S7	No-Competitor	0.063066667	pP6	p
S7	Competitor-Absent	0.080768	pP2	p
S7	Competitor-Present	0.084231333	pP8	p
S7	Competitor-Absent	0.082222	pP1	p
S7	No-Competitor	0.058232667	pP7	p
S7	Competitor-Present	0.088823333	pP7	p
S7	No-Competitor	0.069464333	pP1	p
S7	No-Competitor	0.067218	pP8	p
S7	Competitor-Present	0.089129333	pP9	p
S7	No-Competitor	0.058375667	pP9	p
S7	No-Competitor	0.061636333	pP10	p
S7	Competitor-Present	0.09515	pP10	p
S7	No-Competitor	0.079731333	pP2	p
S7	No-Competitor	0.081688333	pP12	p
S7	Competitor-Present	0.341578667	pP12	p
S7	No-Competitor	0.064693333	pP11	p
S7	No-Competitor	0.074961667	pP3	p
S7	No-Competitor	0.082198667	pP4	p
S7	Competitor-Absent	0.078435333	pP5	p
S7	Competitor-Absent	0.077128333	pP4	p
S7	Competitor-Absent	0.073504	pP3	p
S7	No-Competitor	0.071156667	pP5	p
S7	Competitor-Present	0.0804065	pP11	p
S7	Competitor-Present	0.078239333	tP1	t
S7	No-Competitor	0.076133	tP2	t
S7	No-Competitor	0.083162	tP11	t
S7	Competitor-Present	0.089217667	tP2	t
S7	No-Competitor	0.063853333	tP1	t
S7	Competitor-Present	0.099993667	tP3	t
S7	No-Competitor	0.087876	tP3	t
S7	Competitor-Present	0.093211333	tP4	t
S7	No-Competitor	0.092916333	tP4	t
S7	Competitor-Present	0.086012333	tP6	t
S7	No-Competitor	0.091832333	tP6	t
S7	Competitor-Present	0.099381	tP5	t
S7	No-Competitor	0.070451	tP5	t
S7	No-Competitor	0.094597333	tP12	t
S7	Competitor-Absent	0.084269	tP12	t
S7	No-Competitor	0.085985	tP9	t
S7	Competitor-Absent	0.088825333	tP8	t
S7	No-Competitor	0.100582667	tP8	t
S7	No-Competitor	0.079178333	tP7	t
S7	Competitor-Absent	0.081090667	tP7	t
S7	Competitor-Absent	0.098007667	tP9	t
S7	Competitor-Absent	0.098934667	tP10	t
S7	No-Competitor	0.083393333	tP10	t
S8	Competitor-Absent	0.088623333	kP10	k
S8	No-Competitor	0.077355	kP10	k
S8	No-Competitor	0.076088667	kP11	k
S8	Competitor-Absent	0.112186	kP11	k
S8	Competitor-Present	0.113476667	kP1	k
S8	Competitor-Present	0.101812	kP2	k
S8	Competitor-Absent	0.082367333	kP12	k
S8	No-Competitor	0.072300667	kP1	k
S8	No-Competitor	0.083942333	kP12	k
S8	Competitor-Absent	0.095133333	kP9	k
S8	No-Competitor	0.080772	kP9	k
S8	No-Competitor	0.073805	kP2	k
S8	Competitor-Present	0.103512667	kP5	k
S8	No-Competitor	0.385618333	kP5	k
S8	No-Competitor	0.081725333	kP6	k
S8	No-Competitor	0.090995	kP7	k
S8	Competitor-Absent	0.083858	kP7	k
S8	No-Competitor	0.095782667	kP8	k
S8	Competitor-Absent	0.101977333	kP8	k
S8	Competitor-Present	0.102793667	kP6	k
S8	No-Competitor	0.081403667	kP4	k
S8	Competitor-Present	0.099682	kP3	k
S8	No-Competitor	0.099515	kP3	k
S8	Competitor-Present	0.081656333	kP4	k
S8	Competitor-Absent	0.059392667	pP6	p
S8	No-Competitor	0.053807	pP6	p
S8	Competitor-Absent	0.079669	pP2	p
S8	Competitor-Present	0.073446	pP8	p
S8	Competitor-Absent	0.059545333	pP1	p
S8	No-Competitor	0.054233667	pP7	p
S8	Competitor-Present	0.075801333	pP7	p
S8	No-Competitor	0.051676	pP1	p
S8	No-Competitor	0.040025667	pP8	p
S8	Competitor-Present	0.071	pP9	p
S8	No-Competitor	0.050293333	pP9	p
S8	No-Competitor	0.041717667	pP10	p
S8	Competitor-Present	0.069449333	pP10	p
S8	No-Competitor	0.067237333	pP2	p
S8	No-Competitor	0.061121333	pP12	p
S8	Competitor-Present	0.077438	pP12	p
S8	No-Competitor	0.047460667	pP11	p
S8	No-Competitor	0.041247333	pP3	p
S8	No-Competitor	0.057525667	pP4	p
S8	Competitor-Absent	0.072207333	pP5	p
S8	Competitor-Absent	0.065253667	pP4	p
S8	Competitor-Absent	0.052656667	pP3	p
S8	No-Competitor	0.048036	pP5	p
S8	Competitor-Present	0.066894667	pP11	p
S8	Competitor-Present	0.067282333	tP1	t
S8	No-Competitor	0.065727667	tP2	t
S8	No-Competitor	0.063183333	tP11	t
S8	Competitor-Present	0.081898	tP2	t
S8	No-Competitor	0.063530667	tP1	t
S8	Competitor-Present	0.091625333	tP3	t
S8	No-Competitor	0.074763333	tP3	t
S8	Competitor-Present	0.098195667	tP4	t
S8	No-Competitor	0.079683	tP4	t
S8	Competitor-Present	0.083986667	tP6	t
S8	No-Competitor	0.063209333	tP6	t
S8	Competitor-Present	0.062494	tP5	t
S8	No-Competitor	0.070232333	tP5	t
S8	No-Competitor	0.0549075	tP12	t
S8	Competitor-Absent	0.075563	tP12	t
S8	No-Competitor	0.058301	tP9	t
S8	Competitor-Absent	0.085102333	tP8	t
S8	No-Competitor	0.067217	tP8	t
S8	No-Competitor	0.06715	tP7	t
S8	Competitor-Absent	0.072669	tP7	t
S8	Competitor-Absent	0.064363667	tP9	t
S8	Competitor-Absent	0.068981667	tP10	t
S8	No-Competitor	0.044545	tP10	t
S9	Competitor-Absent	0.084501	kP10	k
S9	No-Competitor	0.082019333	kP10	k
S9	No-Competitor	0.082482	kP11	k
S9	Competitor-Absent	0.085876	kP11	k
S9	Competitor-Present	0.083607	kP1	k
S9	Competitor-Present	0.098414333	kP2	k
S9	Competitor-Absent	0.084507	kP12	k
S9	No-Competitor	0.083309	kP1	k
S9	No-Competitor	0.068824333	kP12	k
S9	Competitor-Absent	0.082897667	kP9	k
S9	No-Competitor	0.077398333	kP9	k
S9	No-Competitor	0.081466667	kP2	k
S9	Competitor-Present	0.098724667	kP5	k
S9	No-Competitor	0.09054	kP5	k
S9	No-Competitor	0.070495	kP6	k
S9	No-Competitor	0.083720667	kP7	k
S9	Competitor-Absent	0.084181	kP7	k
S9	No-Competitor	0.080974333	kP8	k
S9	Competitor-Absent	0.083842667	kP8	k
S9	Competitor-Present	0.089759	kP6	k
S9	No-Competitor	0.081481	kP4	k
S9	Competitor-Present	0.086459	kP3	k
S9	No-Competitor	0.082325333	kP3	k
S9	Competitor-Present	0.087476667	kP4	k
S9	Competitor-Absent	0.053633	pP6	p
S9	No-Competitor	0.057703333	pP6	p
S9	Competitor-Absent	0.068293333	pP2	p
S9	Competitor-Present	0.058876667	pP8	p
S9	Competitor-Absent	0.069068333	pP1	p
S9	No-Competitor	0.045439333	pP7	p
S9	Competitor-Present	0.076617667	pP7	p
S9	No-Competitor	0.053653667	pP1	p
S9	No-Competitor	0.042550333	pP8	p
S9	Competitor-Present	0.047619667	pP9	p
S9	No-Competitor	0.047563667	pP9	p
S9	No-Competitor	0.045089	pP10	p
S9	Competitor-Present	0.072745667	pP10	p
S9	No-Competitor	0.055035667	pP2	p
S9	No-Competitor	0.048367667	pP12	p
S9	Competitor-Present	0.057484333	pP12	p
S9	No-Competitor	0.046926333	pP11	p
S9	No-Competitor	0.050102	pP3	p
S9	No-Competitor	0.056874333	pP4	p
S9	Competitor-Absent	0.05491	pP5	p
S9	Competitor-Absent	0.045354333	pP4	p
S9	Competitor-Absent	0.063649333	pP3	p
S9	No-Competitor	0.046240667	pP5	p
S9	Competitor-Present	0.051920333	pP11	p
